"";"id";"module";"supermodule";"dim_1";"dim_2"
"2584";"Nos1";"14";"1";-0,303885356463342;2,85597841242836
"2585";"Ywhae";"28";"1";2,72440273972616;4,95262758235024
"2586";"Gm15270";"20";"1";-4,09105198172465;-0,344810800752178
"2587";"Ube2n";"28";"1";3,09289748879537;4,77309743861245
"2588";"Ddr1";"25";"1";-2,74266450194254;0,821594131985172
"2589";"Sdf4";"11";"1";-2,90784470824137;-0,285783188542858
"2590";"Vnn1";"20";"1";-3,42678897169962;0,168155534067615
"2591";"Edil3";"35";"1";-5,56462757376566;0,730064554014668
"2592";"Rnf19a";"43";"1";1,95939572068319;4,78284780482338
"2593";"Psmb10";"57";"1";-0,00469724921122106;1,14502207736061
"2594";"Slc28a3";"16";"1";-2,18022458342448;-2,98626144429161
"2595";"Clip4";"14";"1";0,642554714404196;2,76418368319558
"2596";"Was";"61";"2";-5,49844877509013;-5,56549127598716
"2597";"St6galnac1";"34";"1";-2,23946099070445;-3,58944089909507
"2598";"Ptov1";"31";"1";-2,6296872356309;-0,207487480840221
"2599";"Pam16";"5";"1";-0,274167255438714;-2,38109596272422
"2600";"S100b";"35";"1";-5,54564850119486;0,609341231980785
"2601";"Lamp2";"11";"1";-2,62642876891032;0,38101988086985
"2602";"Peli1";"28";"1";2,32388909073934;5,00635997752236
"2603";"Spr";"23";"1";-2,04218237189189;-1,02517612477256
"2604";"Matn4";"17";"1";1,74012477608785;-0,0385444035144005
"2605";"Foxc2";"60";"1";-6,40246479300395;-1,47951670189811
"2606";"Reep3";"22";"1";1,92344100686178;3,59896270731972
"2607";"Edn1";"29";"1";2,01826937409505;0,558178646364674
"2608";"Micall1";"22";"1";1,76057059975728;2,98060457209633
"2609";"Sdhc";"19";"1";0,0923395893202731;-4,49082286854698
"2610";"AI506816";"30";"1";2,91278965684041;0,176860226192936
"2611";"Abt1";"26";"1";4,14576537819967;2,1854343841462
"2612";"Cab39";"43";"1";2,21036560746297;4,91528121928261
"2613";"Thra";"23";"1";-1,89863137987986;-1,06463940640403
"2614";"Pgk1";"8";"1";3,06511147233114;4,33759228686379
"2615";"Serinc1";"8";"1";2,68977458687887;4,13864438036965
"2616";"Tmem238";"27";"1";-0,749538035072236;-2,77960951825096
"2617";"Vsnl1";"46";"1";2,01884324761495;-0,444289879998699
"2618";"Pfdn2";"52";"1";3,54050643654928;4,89724151591347
"2619";"Ninj1";"8";"1";2,60928161355123;3,88360564211892
"2620";"Grn";"23";"1";-1,99682848242655;-1,65972741146995
"2621";"Cd164";"3";"1";-1,72388605860606;-0,770681934556499
"2622";"G3bp1";"52";"1";3,60952480050191;4,82575456599282
"2623";"Eepd1";"19";"1";-0,272376344479471;-6,05324037571861
"2624";"Cul3";"43";"1";2,07658965798482;5,14394466380165
"2625";"Prss8";"36";"1";1,10898490162954;1,70845286349343
"2626";"Cda";"47";"1";-2,89767663267985;0,888553900518879
"2627";"Azin1";"12";"1";1,45600564690694;4,50469295481728
"2628";"Dynlrb1";"1";"1";-0,408815399683862;-4,35992010136558
"2629";"Ablim3";"14";"1";-0,148420468844323;2,74256722430275
